epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,432.65,1.29255,2.77656,1.53469,0.42193,0.47887,0.40567,0.26891,1.00413,1.62013,1.25557,0.00999396,0.00333132,0.00999396,0.00333132,0.00999396,0.00333132,0.00999396,0.00333132
2,790.889,1.2304,2.05698,1.471,0.48325,0.55702,0.51245,0.35255,1.01955,1.41908,1.31256,0.0197465,0.00658218,0.0197465,0.00658218,0.0197465,0.00658218,0.0197465,0.00658218
3,1132.06,1.30155,2.14209,1.54037,0.38424,0.52936,0.40566,0.24441,1.17157,1.65842,1.41716,0.0292516,0.00975054,0.0292516,0.00975054,0.0292516,0.00975054,0.0292516,0.00975054
4,1463,1.31741,2.17524,1.55026,0.49339,0.49716,0.46796,0.31341,1.09226,1.50969,1.37441,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,1793.24,1.24489,1.97812,1.49784,0.59041,0.58656,0.56703,0.39587,0.99564,1.3067,1.28402,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,2122.8,1.1979,1.79693,1.45038,0.61788,0.62654,0.63593,0.46313,0.84352,1.16875,1.18308,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,2452.74,1.14118,1.65399,1.41238,0.64666,0.67055,0.66552,0.4844,0.85105,1.09235,1.18628,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,2785.32,1.09915,1.55177,1.3862,0.68562,0.73803,0.71483,0.53236,0.78312,1.01196,1.13157,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,3113.63,1.06629,1.46551,1.36257,0.71965,0.71869,0.73343,0.54698,0.77968,0.94357,1.13428,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,3441.94,1.0424,1.38565,1.34309,0.65777,0.78642,0.82741,0.65201,0.70452,0.93053,1.08696,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
